Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con1_GD6_1_50906.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con2_GD7_1_50908.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con3_GD8_1_50910.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con4_GD9_1_50912.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con5_GD10_1_50914.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con6_GD11_1_50916.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con7_GD12_1_50918.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con8_GE1_1_50920.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con9_GE2_1_50922.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con10_GE3_1_50924.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con11_GE4_1_50926.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con12_GE5_1_50928.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con13_GE6_1_50930.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con14_GE7_1_50932.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con15_GE8_1_50934.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP1_GF12_1_50970.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP2_GG1_1_50972.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP3_GG2_1_50974.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP4_GG3_1_50976.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP5_GG4_1_50978.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP6_GG5_1_50980.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP7_GG6_1_50982.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP8_GG7_1_50984.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP9_GG8_1_50986.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP10_GG9_1_50988.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP11_GG10_1_50990.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP12_GG11_1_50992.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP13_GG12_1_50994.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP14_GH1_1_50996.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP15_GH2_1_50998.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP1_GE9_1_50938.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP2_GE10_1_50940.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP3_GE11_1_50942.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP4_GE12_1_50944.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP5_GF1_1_50946.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP6_GF2_1_50948.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP7_GF3_1_50950.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP8_GF4_1_50952.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP9_GF5_1_50954.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP10_GF6_1_50956.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP11_GF7_1_50958.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP12_GF8_1_50960.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP13_GF9_1_50962.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP14_GF10_1_50964.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP15_GF11_1_50966.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_mix1_GH3_1_50936.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_mix2_GH3_1_50968.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_mix3_GH3_1_51000.d
A0A075B6H7	KV37_HUMAN	IGKV3-7	Probable non-functional immunoglobulin kappa variable 3-7	1.71041e+06	1.48815e+06	3.58007e+06	1.87298e+06	3.66622e+06	3.02131e+06	2.95102e+06	9.47032e+06	3.32869e+06	2.32954e+06	1.78811e+06	2.93202e+06	3.11291e+06	1.94334e+06	4.55781e+06	3.14234e+06	4.7011e+06	4.66888e+06	2.41842e+06	3.74999e+06	3.9286e+06	7.17879e+06	1.02836e+07	7.33309e+06	4.72897e+06	9.35249e+06	4.83812e+06	4.2737e+06	4.59975e+06	3.98414e+06	1.9284e+06	2.27452e+06	3.08402e+06	3.75106e+06	3.05215e+06	1.46634e+06	2.74802e+06	3.9394e+06	1.9585e+06	4.5041e+06	2.66376e+06	2.68287e+06	5.59296e+06	3.52331e+06	5.09419e+06	3.48551e+06	4.60396e+06	4.55984e+06
A0A075B6I0	LV861_HUMAN	IGLV8-61	Immunoglobulin lambda variable 8-61	1.32078e+06	1.4864e+06	1.28129e+06	1.68236e+06		4366.6	1.28687e+06	1.80355e+06	1.32361e+06	1.22481e+06	205543	1.23649e+06	147224	176585	591057	91369.2	590185	797498	1.77925e+06	828278	704125	2.11221e+06	1.48945e+06		747315	1.12868e+06	2.57646e+06	508128	1.93502e+06	1.71935e+06	142890			991520	122690		85114.1	1.48549e+06	43892.8	443715	593003	877369	469767	1.19969e+06	1.61431e+06	903502	1.24657e+06	1.11438e+06
A0A075B6I7	LV548_HUMAN	IGLV5-48	Probable non-functional immunoglobulin lambda variable 5-48								8143.75			8880.88			6597.09			29346		5277.33			12576.9	35881.6	3893.6	5388.89	50806.7	20194.8	21727.9	25890.7	14262.4	19677.5		6495.75		3004.98					8783.71	12516.9	3599.39		3706.74	5986.76	17497.7	16651.4	16072.9
A0A075B6I9	LV746_HUMAN	IGLV7-46	Immunoglobulin lambda variable 7-46	646053	758831	537217	765924	1.14862e+06	1.22488e+06	365010	1.57665e+06	525454	801772	351580	603065		431807	1.40949e+06	136610	644295	1.06492e+06	877052	542072	493754	1.17209e+06	972282	1.73557e+06	964732	1.26515e+06	3.23793e+06	731125	3.00173e+06	3.877e+06	671636	1.50844e+06	974556	320287	226074		93505.2	1.28735e+06	193557	1.42532e+06	536821	820172	829830	749188	1.54038e+06	1.4811e+06	1.25429e+06	1.28694e+06
A0A075B6J1	LV537_HUMAN	IGLV5-37	Immunoglobulin lambda variable 5-37	3631.31	3471.55	4010.45	4284.51	2762.7				5062.21	6090.83					21398		5458.82	4803.77	2614.11	3196		16377.7	6425.01			4601.3	44872.3	4491.98	50161.9	51907.9		10708.3	6160.23					6088.45	71082.5		1519.19		5287.85	2283.45	4097.62	9880.62	11018	11091.7
A0A075B6J6	LV322_HUMAN	IGLV3-22	Immunoglobulin lambda variable 3-22								13780.4							41826.1																									74330.1	72782.5	14852						
A0A075B6J9	LV218_HUMAN	IGLV2-18	Immunoglobulin lambda variable 2-18	232280	273766	187644	242010	380665	316503	137363	359173	210027	218815	141443	143822	353199	366043	360496	177308	221168	447537	572981	118315	119146	533372	235597	253235	196379	196854	325995	228063	337521	468722	298663	333229	264692	122208	140622	123830	88349.8	293446	146465	719416	385819	60183.3	636957	126998	290203	337112	329597	350232
A0A075B6K0	LV316_HUMAN	IGLV3-16	Immunoglobulin lambda variable 3-16																											21627.8		21665.9	10081.4																		2143.44
A0A075B6K2	LV312_HUMAN	IGLV3-12	Immunoglobulin lambda variable 3-12	13183.5	14218.3	13676.8	9368.79	5675.97		4537.07		9551.46		19575.3	4532.7	24910.4		8842.9	13870	3431.95		14327.7	5826.41		50232.3	4280.56		3511.78		73494.4		60759.9	73413.4	55695.7	8494.83	6144.66	13017.5	5371.91	14781.4		11832	22325.7	9616		17411.6	13155.1	8948.94	21159.5	14034.3	18797.9	13485.8
A0A075B6K4	LV310_HUMAN	IGLV3-10	Immunoglobulin lambda variable 3-10	34895.6	35306.9	82675.3	63477.6	319264	109824	70942.5	201681	134748	161673	282076	101301	290777	202710	145831	276184	186300	85963.9	155751	183079	211706	174315	339819	535794	70585	412151	410826	313328	354867	374292	421248	293592	148069	183557	76933.9	55801.4	217498	158834	139133	395956	112099	183275	194637	158547	330188	224478	172745	195760
